"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2021","80,000.00","80,000.00","81,000.00","79,000.00","-","0.63%"
"Mar 03, 2021","79,500.00","79,500.00","80,500.00","78,500.00","-","2.58%"
"Mar 02, 2021","77,500.00","77,500.00","78,500.00","76,500.00","-","0.00%"
"Mar 01, 2021","77,500.00","77,500.00","78,500.00","76,500.00","-","0.65%"
"Feb 26, 2021","77,000.00","77,000.00","78,000.00","76,000.00","-","1.32%"
"Feb 25, 2021","76,000.00","76,000.00","77,000.00","75,000.00","-","2.70%"
"Feb 24, 2021","74,000.00","74,000.00","75,000.00","73,000.00","-","2.78%"
"Feb 23, 2021","72,000.00","72,000.00","73,000.00","71,000.00","-","2.86%"
"Feb 22, 2021","70,000.00","70,000.00","71,000.00","69,000.00","-","2.19%"
"Feb 05, 2021","68,500.00","68,500.00","69,500.00","67,500.00","-","0.00%"
"Feb 04, 2021","68,500.00","68,500.00","69,500.00","67,500.00","-","0.00%"
"Feb 03, 2021","68,500.00","68,500.00","69,500.00","67,500.00","-","0.00%"
"Feb 02, 2021","68,500.00","68,500.00","69,500.00","67,500.00","-","0.00%"
"Feb 01, 2021","68,500.00","68,500.00","69,500.00","67,500.00","-","0.74%"
"Jan 29, 2021","68,000.00","68,000.00","69,000.00","67,000.00","-","0.74%"
"Jan 28, 2021","67,500.00","67,500.00","68,500.00","66,500.00","-","0.00%"
"Jan 27, 2021","67,500.00","67,500.00","68,500.00","66,500.00","-","2.27%"
"Jan 26, 2021","66,000.00","66,000.00","67,000.00","65,000.00","-","2.33%"
"Jan 25, 2021","64,500.00","64,500.00","65,500.00","63,500.00","-","2.38%"
"Jan 22, 2021","63,000.00","63,000.00","64,000.00","62,000.00","-","2.44%"
"Jan 21, 2021","61,500.00","61,500.00","62,500.00","60,500.00","-","0.00%"
"Jan 20, 2021","61,500.00","61,500.00","62,500.00","60,500.00","-","2.50%"
"Jan 19, 2021","60,000.00","60,000.00","61,000.00","59,000.00","-","2.56%"
"Jan 18, 2021","58,500.00","58,500.00","59,500.00","57,500.00","-","2.63%"
"Jan 15, 2021","57,000.00","57,000.00","58,000.00","56,000.00","-","1.79%"
"Jan 14, 2021","56,000.00","56,000.00","57,000.00","55,000.00","-","1.82%"
"Jan 13, 2021","55,000.00","55,000.00","56,000.00","54,000.00","-","0.00%"
"Jan 12, 2021","55,000.00","55,000.00","56,000.00","54,000.00","-","1.85%"
"Jan 11, 2021","54,000.00","54,000.00","55,000.00","53,000.00","-","2.86%"
"Jan 08, 2021","52,500.00","52,500.00","53,500.00","51,500.00","-","1.94%"
"Jan 07, 2021","51,500.00","51,500.00","52,500.00","50,500.00","-","1.98%"
"Jan 06, 2021","50,500.00","50,500.00","51,500.00","49,500.00","-","2.02%"
"Jan 05, 2021","49,500.00","49,500.00","50,500.00","48,500.00","-","2.06%"
"Jan 04, 2021","48,500.00","48,500.00","49,500.00","47,500.00","-","0.00%"
"Dec 31, 2020","48,500.00","48,500.00","49,500.00","47,500.00","-","1.04%"
"Dec 30, 2020","48,000.00","48,000.00","49,000.00","47,000.00","-","0.00%"
"Dec 29, 2020","48,000.00","48,000.00","49,000.00","47,000.00","-","2.13%"
"Dec 28, 2020","47,000.00","47,000.00","48,000.00","46,000.00","-","2.17%"
"Dec 25, 2020","46,000.00","46,000.00","47,000.00","45,000.00","-","0.00%"
"Dec 24, 2020","46,000.00","46,000.00","47,000.00","45,000.00","-","1.10%"
"Dec 23, 2020","45,500.00","45,500.00","46,500.00","44,500.00","-","2.25%"
"Dec 22, 2020","44,500.00","44,500.00","45,500.00","43,500.00","-","1.14%"
"Dec 21, 2020","44,000.00","44,000.00","45,000.00","43,000.00","-","0.00%"
"Dec 18, 2020","44,000.00","44,000.00","45,000.00","43,000.00","-","0.00%"
"Dec 17, 2020","44,000.00","44,000.00","45,000.00","43,000.00","-","0.00%"
"Dec 16, 2020","44,000.00","44,000.00","45,000.00","43,000.00","-","0.00%"
"Dec 15, 2020","44,000.00","44,000.00","45,000.00","43,000.00","-","1.15%"
"Dec 14, 2020","43,500.00","43,500.00","44,500.00","42,500.00","-","1.16%"
"Dec 11, 2020","43,000.00","43,000.00","44,000.00","42,000.00","-","0.00%"
"Dec 10, 2020","43,000.00","43,000.00","44,000.00","42,000.00","-","2.38%"
"Dec 09, 2020","42,000.00","42,000.00","43,000.00","41,000.00","-","0.00%"
"Dec 08, 2020","42,000.00","42,000.00","43,000.00","41,000.00","-","0.00%"
"Dec 07, 2020","42,000.00","42,000.00","43,000.00","41,000.00","-","2.44%"
"Dec 04, 2020","41,000.00","41,000.00","42,000.00","40,000.00","-","0.00%"
"Dec 03, 2020","41,000.00","41,000.00","42,000.00","40,000.00","-","0.00%"
